"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Apr 07 11:15:53 GMT 2025","Mon Apr 07 11:15:53 GMT 2025","67","autoTests","Tests","tests.DeleteUserTest","tests.DeleteUserTest","deleteUserTest","Delete User Test","Проверка успешного удаления данных о клиенте."
"passed","Mon Apr 07 11:15:50 GMT 2025","Mon Apr 07 11:15:52 GMT 2025","2103","autoTests","Tests","tests.GetUsersTests","tests.GetUsersTests","getUser","Get User Test","Проверка корректности данных клиента"
"passed","Mon Apr 07 11:15:53 GMT 2025","Mon Apr 07 11:15:53 GMT 2025","103","autoTests","Tests","tests.UpdateUserTest","tests.UpdateUserTest","updateUserTest","Update User Test","Проверка успешного обновления данных клиента."
"passed","Mon Apr 07 11:15:50 GMT 2025","Mon Apr 07 11:15:53 GMT 2025","2822","autoTests","Tests","tests.GetUsersTests","tests.GetUsersTests","getAllUsersTest","Get All Users Test","Проверка верификации всех клиентов."
"passed","Mon Apr 07 11:15:50 GMT 2025","Mon Apr 07 11:15:52 GMT 2025","2319","autoTests","Tests","tests.CreateUserTest","tests.CreateUserTest","createUserTest","Create User Test","Проверка успешного создания клиента."
