"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Apr 07 12:05:33 GMT 2025","Mon Apr 07 12:05:33 GMT 2025","90","autoTests","Tests","tests.DeleteUserTest","tests.DeleteUserTest","deleteUserTest","Delete User Test","Проверка успешного удаления данных о клиенте."
"passed","Mon Apr 07 12:05:30 GMT 2025","Mon Apr 07 12:05:33 GMT 2025","2382","autoTests","Tests","tests.CreateUserTest","tests.CreateUserTest","createUserTest","Create User Test","Проверка успешного создания клиента."
"passed","Mon Apr 07 12:05:31 GMT 2025","Mon Apr 07 12:05:34 GMT 2025","2968","autoTests","Tests","tests.GetUsersTests","tests.GetUsersTests","getAllUsersTest","Get All Users Test","Проверка верификации всех клиентов."
"passed","Mon Apr 07 12:05:31 GMT 2025","Mon Apr 07 12:05:33 GMT 2025","2174","autoTests","Tests","tests.GetUsersTests","tests.GetUsersTests","getUser","Get User Test","Проверка корректности данных клиента"
"passed","Mon Apr 07 12:05:33 GMT 2025","Mon Apr 07 12:05:33 GMT 2025","141","autoTests","Tests","tests.UpdateUserTest","tests.UpdateUserTest","updateUserTest","Update User Test","Проверка успешного обновления данных клиента."
