"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"Управление клиентами","Получение данных клиента","Получение списка данных всех клиентов","0","0","1","0","0"
"Управление клиентами","Создание данных о клиенте","Создание клиента","0","0","1","0","0"
"Управление клиентами","Удаление данных о клиенте","Удаление данных  по указанному id","0","0","1","0","0"
"Управление клиентами","Получение данных клиента","Получение данных о клиенте","0","0","1","0","0"
"Управление клиентами","Обновление данных клиента","Обновление данных клиента по указанному id","0","0","1","0","0"
