"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Apr 07 11:12:05 GMT 2025","Mon Apr 07 11:12:08 GMT 2025","2850","autoTests","Tests","tests.GetUsersTests","tests.GetUsersTests","getAllUsersTest","Get All Users Test","Проверка верификации всех клиентов."
"passed","Mon Apr 07 11:12:05 GMT 2025","Mon Apr 07 11:12:07 GMT 2025","2308","autoTests","Tests","tests.CreateUserTest","tests.CreateUserTest","createUserTest","Create User Test","Проверка успешного создания клиента."
"passed","Mon Apr 07 11:12:07 GMT 2025","Mon Apr 07 11:12:07 GMT 2025","70","autoTests","Tests","tests.DeleteUserTest","tests.DeleteUserTest","deleteUserTest","Delete User Test","Проверка успешного удаления данных о клиенте."
"passed","Mon Apr 07 11:12:05 GMT 2025","Mon Apr 07 11:12:07 GMT 2025","2141","autoTests","Tests","tests.GetUsersTests","tests.GetUsersTests","getUser","Get User Test","Проверка корректности данных клиента"
"passed","Mon Apr 07 11:12:07 GMT 2025","Mon Apr 07 11:12:07 GMT 2025","111","autoTests","Tests","tests.UpdateUserTest","tests.UpdateUserTest","updateUserTest","Update User Test","Проверка успешного обновления данных клиента."
